cm,seconds
0.00,0.70
92.23,0.70
98.28,0.71
100.38,0.72
95.88,0.74
100.13,0.77
92.23,0.80
102.48,0.82
95.42,0.85
93.31,0.88
94.40,0.90
97.43,0.93
94.47,0.95
92.51,0.98
91.61,1.00
95.57,1.03
89.47,1.06
97.02,1.08
95.06,1.11
94.57,1.13
89.71,1.16
94.52,1.19
80.97,1.21
85.78,1.24
80.94,1.26
83.78,1.29
86.58,1.32
84.73,1.34
75.87,1.37
76.86,1.39
19.96,1.42
21.06,1.45
70.28,1.47
75.28,1.50
73.73,1.52
77.08,1.55
74.77,1.58
73.02,1.60
74.17,1.63
75.12,1.65
72.91,1.68
71.03,1.71
72.91,1.73
73.22,1.76
73.81,1.78
73.78,1.81
76.13,1.84
77.96,1.86
79.58,1.89
80.89,1.91
79.97,1.94
77.72,1.97
82.48,1.99
81.87,2.02
77.62,2.05
89.93,2.07
79.31,2.10
81.94,2.12
80.99,2.15
81.63,2.18
81.09,2.20
88.94,2.23
84.95,2.25
86.04,2.28
88.79,2.31
87.63,2.33
90.13,2.36
83.13,2.38
82.64,2.41
80.19,2.44
79.27,2.46
81.92,2.49
81.38,2.51
81.38,2.54
86.63,2.57
81.79,2.59
88.43,2.62
81.04,2.64
84.76,2.67
81.96,2.70
76.82,2.72
78.47,2.75
77.76,2.77
76.08,2.80
75.02,2.83
71.08,2.85
75.12,2.88
71.98,2.90
76.82,2.93
72.08,2.96
78.12,2.98
80.94,3.01
76.98,3.03
80.48,3.06
85.83,3.09
76.87,3.11
81.79,3.14
77.06,3.16
78.91,3.19
81.63,3.22
74.87,3.24
81.87,3.27
77.27,3.29
83.59,3.32
100.62,3.35
84.64,3.37
90.92,3.40
62.66,3.43
84.73,3.45
73.78,3.48
77.71,3.50
78.01,3.53
80.68,3.56
77.62,3.58
79.71,3.61
85.68,3.63
78.01,3.66
75.82,3.69
75.96,3.71
80.00,3.74
76.11,3.76
74.58,3.79
74.07,3.82
78.01,3.84
74.12,3.87
72.76,3.89
82.82,3.92
83.08,3.94
88.83,3.97
77.83,4.00
69.17,4.02
74.82,4.05
76.02,4.07
74.12,4.10
73.83,4.13
72.03,4.15
73.83,4.18
79.73,4.20
82.23,4.23
86.79,4.26
90.39,4.28
93.43,4.31
95.49,4.33
96.03,4.36
87.92,4.39
87.72,4.41
82.89,4.44
82.79,4.46
87.58,4.49
83.13,4.52
81.79,4.54
82.79,4.57
85.58,4.59
87.99,4.62
84.80,4.65
82.64,4.67
84.03,4.70
84.68,4.72
91.73,4.75
92.72,4.78
89.68,4.80
101.52,4.83
92.79,4.86
90.54,4.88
97.73,4.91
92.28,4.93
89.98,4.96
83.49,4.99
88.83,5.01
86.99,5.04
89.78,5.06
80.63,5.09
85.58,5.11
83.64,5.14
86.02,5.17
84.98,5.19
89.49,5.22
77.98,5.25
91.34,5.27
89.00,5.30
72.86,5.32
88.28,5.35
91.87,5.38
85.83,5.40
90.78,5.43
87.63,5.45
88.72,5.48
80.94,5.51
85.88,5.53
77.42,5.56
76.82,5.58
75.02,5.61
74.02,5.64
76.82,5.66
81.92,5.69
84.75,5.71
80.85,5.74
84.73,5.77
83.28,5.79
81.84,5.82
85.09,5.84
86.58,5.87
83.83,5.90
91.63,5.92
84.73,5.95
92.53,5.97
90.68,6.00
94.32,6.03
90.63,6.05
96.88,6.08
93.62,6.10
90.58,6.13
94.71,6.16
93.13,6.18
90.49,6.21
93.18,6.23
87.55,6.26
90.73,6.29
97.89,6.31
98.60,6.34
95.06,6.36
91.43,6.39
90.52,6.42
95.34,6.44
90.59,6.47
95.83,6.49
93.18,6.52
95.23,6.55
97.78,6.57
94.08,6.60
96.78,6.62
91.48,6.65
95.29,6.68
91.73,6.70
93.28,6.73
96.42,6.75
95.37,6.78
91.53,6.80
95.01,6.83
95.27,6.86
97.44,6.88
91.07,6.91
92.68,6.94
98.60,6.96
93.08,6.99
92.99,7.01
92.28,7.04
97.60,7.07
90.78,7.09
92.23,7.12
94.69,7.14
90.68,7.17
86.67,7.20
86.84,7.22
82.59,7.25
87.09,7.27
22.17,7.30
88.43,7.32
87.82,7.35
88.93,7.38
85.82,7.40
84.83,7.43
89.68,7.46
84.47,7.48
87.79,7.51
84.58,7.53
87.84,7.56
94.37,7.59
86.62,7.61
95.66,7.64
90.54,7.66
91.63,7.69
90.47,7.72
94.67,7.74
90.68,7.77
89.62,7.79
92.51,7.82
96.81,7.84
93.33,7.87
95.17,7.90
93.42,7.92
93.23,7.95
90.44,7.98
97.12,8.00
95.10,8.03
91.53,8.05
91.48,8.08
95.37,8.10
93.57,8.13
90.47,8.16
92.28,8.18
91.39,8.21
90.73,8.24
93.52,8.26
94.21,8.29
90.52,8.31
92.53,8.34
89.83,8.37
89.62,8.39
94.11,8.42
95.06,8.44
95.86,8.47
95.95,8.50
91.17,8.52
96.58,8.55
89.62,8.57
91.51,8.60
94.21,8.63
96.17,8.65
97.02,8.68
84.93,8.70
91.56,8.73
94.37,8.76
91.17,8.78
87.72,8.81
88.83,8.83
97.12,8.86
89.62,8.89
89.42,8.91
94.93,8.94
91.32,8.96
96.63,8.99
94.32,9.02
94.03,9.04
92.31,9.07
90.81,9.09
21.01,9.12
90.47,9.15
88.72,9.17
87.69,9.20
84.98,9.22
86.48,9.25
90.68,9.28
89.62,9.30
96.73,9.33
94.77,9.35
95.08,9.38
88.69,9.41
91.51,9.43
91.77,9.46
91.73,9.48
89.71,9.51
96.07,9.53
95.01,9.56
94.57,9.59
87.58,9.61
89.54,9.64
86.82,9.67
89.62,9.69
85.73,9.72
87.67,9.74
84.18,9.77
87.94,9.80
89.91,9.82
